品番	ISOコード	材料/結合形式	作業部形状	最大径	
Model	ISO Code	Material	"Working
Shape"		
TC-14	806-316-166-524-016	806	166	1.6	
TC-14EF	806-316-166-504-013	806	166	1.3	
TC-14F	806-316-166-514-015	806	166	1.5	
TC-15	806-316-166-524-019	806	166	1.9	
TC-16	806-316-166-524-018	806	166	1.8	
TC-21	806-315-165-524-014	806	165	1.4	
TC-21C	806-315-165-534-015	806	165	1.5	
TC-21EF	806-315-165-504-011	806	165	1.1	
TC-21F	806-315-165-514-013	806	165	1.3	
TC-22	806-315-165-524-013	806	165	1.3	
TC-23	806-315-165-524-013	806	165	1.3	
TC-23F	806-315-165-514-013	806	165	1.3	
TC-24	806-315-165-524-015	806	165	1.5	
TC-25	806-315-164-524-018	806	164	1.8	
TC-26	806-315-164-524-011	806	164	1.1	
TC-26C	806-315-164-534-011	806	164	1.1	
TC-28	806-316-166-524-011	806	166	1.1	
TC-72	806-315-165-524-010	806	165	1	
TC-72C	806-315-165-534-011	806	165	1.1	
TC-73F	806-316-166-514-010	806	166	1	
TC-74C	806-316-166-534-012	806	166	1.2	
TC-S21	806-315-165-524-014	806	165	1.4	
TC-S21C	806-315-165-534-015	806	165	1.5	
TC-SS21	806-314-165-524-014	806	165	1.4	
TC-SS21F	806-314-165-514-012	806	165	1.2	
TF-11	806-316-173-524-014	806	173	1.4	
TF-11C	806-316-173-534-015	806	173	1.5	
TF-11SC	806-316-173-544-016	806	173	1.6	
TF-12	806-315-173-524-016	806	173	1.6	
TF-12C	806-315-173-534-017	806	173	1.7	
TF-12EF	806-315-173-504-013	806	173	1.3	
TF-12F	806-315-173-514-015	806	173	1.5	
TF-12SC	806-315-173-544-018	806	173	1.8	
TF-13	806-315-173-524-018	806	173	1.8	
TF-13C	806-315-173-534-019	806	173	1.9	
TF-13SC	806-315-173-544-020	806	173	2	
TF-14	806-315-172-524-023	806	172	2.3	
TF-14C	806-315-172-534-024	806	172	2.4	
TF-15	806-315-172-524-026	806	172	2.6	
TF-20	806-315-171-524-014	806	171	1.4	
TF-20C	806-315-171-534-015	806	171	1.5	
TF-21	806-315-171-524-016	806	171	1.6	
TF-21C	806-315-171-534-017	806	171	1.7	
TF-21EF	806-315-171-504-013	806	171	1.3	
TF-21F	806-315-171-514-015	806	171	1.5	
TF-22	806-314-170-524-021	806	170	2.1	
TF-22C	806-314-171-534-022	806	171	2.2	
TF-22SC	806-314-170-544-023	806	170	2.3	
TF-23	806-315-170-524-018	806	170	1.8	
TF-23C	806-315-170-534-019	806	170	1.9	
TF-31	806-314-170-524-016	806	170	1.6	
TF-31C	806-314-170-534-017	806	170	1.7	
TF-31SC	806-314-170-544-018	806	170	1.8	
TF-33	806-315-170-524-013	806	170	1.3	
TF-41	806-314-169-524-011	806	169	1.1	
TF-41C	806-314-170-534-012	806	170	1.2	
TF-42	806-314-170-524-012	806	170	1.2	
TF-42C	806-314-170-534-013	806	170	1.3	
TF-43	806-314-170-524-014	806	170	1.4	
TF-43C	806-314-170-534-015	806	170	1.5	
TF-S12	806-315-173-524-016	806	173	1.6	
TF-S20	806-314-171-524-014	806	171	1.4	
TF-S20C	806-314-171-534-015	806	171	1.5	
TF-S21	806-314-171-524-016	806	171	1.6	
TF-S21C	806-314-171-534-017	806	171	1.7	
TF-S22	806-313-170-524-021	806	170	2.1	
TF-S23	806-314-170-524-018	806	170	1.8	
TF-S31	806-313-170-524-016	806	170	1.6	
TF-S41	806-313-169-524-011	806	169	1.1	
TF-SS31	806-312-170-524-016	806	170	1.6	
TO-58C	806-315-297-534-014	806	297	1.4	
TR-11	806-315-199-524-016	806	199	1.6	
TR-11C	806-315-199-534-017	806	199	1.7	
TR-11EF	806-315-199-504-013	806	199	1.3	
TR-11F	806-315-199-514-015	806	199	1.5	
TR-12	806-315-199-524-016	806	199	1.6	
TR-12C	806-315-199-534-017	806	199	1.7	
TR-12EF	806-315-199-504-013	806	199	1.3	
TR-12SC	806-315-199-544-018	806	199	1.8	
TR-13	806-315-198-524-018	806	198	1.8	
TR-13C	806-315-198-534-019	806	198	1.9	
TR-13EF	806-315-198-504-015	806	198	1.5	
TR-13F	806-315-198-514-017	806	198	1.7	
TR-13SC	806-315-198-544-020	806	198	2	
TR-14	806-315-198-524-022	806	198	2.2	
TR-14C	806-315-198-534-023	806	198	2.3	
TR-14SC	806-315-198-544-024	806	198	2.4	
TR-15	806-316-199-524-022	806	199	2.2	
TR-15C	806-316-199-534-023	806	199	2.3	
TR-15SC	806-316-199-544-024	806	199	2.4	
TR-17C	806-316-199-534-018	806	199	1.8	
TR-19	806-316-199-524-023	806	199	2.3	
TR-19C	806-316-199-534-024	806	199	2.4	
TR-19SC	806-316-199-544-025	806	199	2.5	
TR-20	806-315-197-524-014	806	197	1.4	
TR-20C	806-315-197-534-015	806	197	1.5	
TR-21	806-315-197-524-016	806	197	1.6	
TR-21C	806-315-197-534-017	806	197	1.7	
TR-21EF	806-315-197-504-013	806	197	1.3	
TR-21F	806-315-197-514-015	806	197	1.5	
TR-21SC	806-315-197-544-018	806	197	1.8	
TR-22	806-315-197-524-012	806	197	1.2	
TR-224	806-316-199-524-011	806	199	1.1	
TR-224C	806-316-199-534-012	806	199	1.2	
TR-23	806-315-198-524-016	806	198	1.6	
TR-24	806-315-197-524-018	806	197	1.8	
TR-24C	806-315-197-534-019	806	197	1.9	
TR-25	806-315-199-524-016	806	199	1.6	
TR-256C	806-315-198-534-015	806	198	1.5	
TR-257C	806-315-198-534-014	806	198	1.4	
TR-258C	806-315-197-534-026	806	197	2.6	
TR-258SC	806-315-197-544-027	806	197	2.7	
TR-259C	806-315-198-534-012	806	198	1.2	
TR-25C	806-315-199-534-017	806	199	1.7	
TR-25EF	806-315-199-504-013	806	199	1.3	
TR-25F	806-315-199-514-015	806	199	1.5	
TR-26	806-315-198-524-018	806	198	1.8	
TR-26C	806-315-198-534-019	806	198	1.9	
TR-26EF	806-315-198-504-015	806	198	1.5	
TR-26F	806-315-198-514-017	806	198	1.7	
TR-27	806-315-198-524-012	806	198	1.2	
TR-28	806-315-198-524-012	806	198	1.2	
TR-28C	806-315-198-534-012	806	198	1.2	
TR-29	806-315-198-524-016	806	198	1.6	
TR-29C	806-315-198-534-016	806	198	1.6	
TR-29F	806-315-198-514-016	806	198	1.6	
TR-30	806-315-198-524-011	806	198	1.1	
TR-62C	806-315-197-534-018	806	197	1.8	
TR-S13	806-315-299-524-018	806	299	1.8	
TR-S13C	806-315-299-534-019	806	299	1.9	
TR-S14	806-315-198-524-022	806	198	2.2	
TR-S14EF	806-314-198-504-019	806	198	1.9	
TR-S21	806-314-197-524-016	806	197	1.6	
TR-S21C	806-314-197-534-017	806	197	1.7	
TR-SS21	806-314-197-524-016	806	197	1.6	
TR-SS21C	806-314-197-534-017	806	197	1.7	
WF-30	806-314-041-524-024	806	41	2.4	
WR-12	806-314-072-524-040	806	72	4	
WR-12C	806-314-072-534-041	806	72	4.1	
WR-13	806-314-072-524-042	806	72	4.2	
WR-13C	806-314-072-534-043	806	72	4.3	
WR-13SC	806-314-072-544-044	806	72	4.4	
WR-14	806-314-072-524-042	806	72	4.2	
WR-31F	806-314-072-514-015	806	72	1.5	
WR-S31F	806-313-072-514-015	806	72	1.5	
RS-21EF	806-315-545-504-016	806	545	1.6	
EA-10	806-315-494-524-019	806	494	1.9	
EA-L10	806-316-494-524-019	806	494	1.9	
EA-13	806-316-173-524-018	806	173	1.8	
EA-40	806-316-001-524-016	806	1	1.6	
DM-103	806-315-073-524-028	806	73	2.8	
DM-105	806-315-073-524-032	806	73	3.2	
DM-303	806-315-552-524-017	806	552	1.7	
DM-305	806-315-552-524-021	806	552	2.1	
